term,definition,category,rel_terms,abbrev,synonym,refs,alt_def,rel_terms_alt_def,refs_alt_def,drafted_by,reviewed_by,status
Head size," Head size in fNIRS research is mostly described by the head circumference (in cm), as measured by wrapping a measuring tape around the head at the level of the nasion in the front, the inion at the back, and the left and right preauricular points (tragi). Head size is needed to choose the best-fitting cap size for the participant to ensure good contact between the optodes and the scalp. Head sizes vary depending on age, gender, and ethnicity. Adults' average head circumference ranges between approximately 52-58 cm (20-23 inches). For infants, head circumferences range between from 32-48 cm (13-19 inches) in the first year of life (for infants born full term) and increase to about 52-56 cm (20-22 inches) by adolescence.",Experimental Design,"Cap size, Head circumference, Landmark, Headgear",,,ISO 7250: Basic human body measurements for technological design,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7509340/,"Thomas Dresler, Christian Bartkowski ","Gregoire Vergotte, Franziska Klein, Thomas Dresler, Oliver Seidel-Marzi, Christina Artemenko, Vanessa Reindl, Christian Bartkowski, Simone Cutini, Jason Longhurst, Haiyan Kong, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Hyperscanning,"The simultaneous recording of brain activity from more than one person.  Typically, a hyperscanning setup is used when the relationship between the participants’ brain activities is of interest, thus during hyperscanning studies the participants are able to communicate with one another either verbally or non-verbally, for example by being in the same room or by seeing each other’s actions.
",Experimental Design,"Dyad; Inter-brain synchrony, Brain-to-brain coupling, Interpersonal neural synchrony (INS)",," dyadic-brain recordings or multiple-brain recordings, Two-person Neuroscience","<a href=""https://doi.org/10.1016/j.neuron.2020.11.008"" target=""_blank"">https://doi.org/10.1016/j.neuron.2020.11.008</a><p></p><a href=""	https://doi.org/10.1006/nimg.2002.1150
"" target=""_blank"">	https://doi.org/10.1006/nimg.2002.1150
</a><p></p><a href=""	https://doi.org/10.3389/fnhum.2020.00039
"" target=""_blank"">	https://doi.org/10.3389/fnhum.2020.00039
</a>", , , ,Mahmoud Elsherif,"Gregoire Vergotte, Ségolène Guérin, Ann-Christine Ehlis, Oliver Seidel-Marzi, Vanessa Reindl, Jason Longhurst, Haiyan Kong, Aykut Eken; Antonia Hamilton, Katharina Stute, Judit Gervain",Complete (agreement from at least 5 team members)
Inter-stimulus interval,"Inter-stimulus interval (ISI) is the time period between the offset of one stimulus (S1) and the onset of the next stimulus (S2). The interstimulus interval can be fixed or jittered. If the duration is fixed, the ISI will last the same amount of time across trials; conversely, if the duration is jittered, the duration of the trial can (pseudo-) randomly vary within a fixed range.",Experimental Design,"Inter-trial interval (ITI), inter-block interval, Stimulus onset asynchrony (SOA), Jitter",ISI,Inter-item interval,"<a href=""https://doi.org/10.1016/j.bandc.2005.11.009"" target=""_blank"">https://doi.org/10.1016/j.bandc.2005.11.009</a>", , , ,Mahmoud Elsherif," Ségolène Guérin, Ann-Christine Ehlis, Simone Cutini, Thomas Dresler, Christina Artemenko, Renato Orti, Mohinish Shukla, Judit Gervain, Katharina Stute",Complete (agreement from at least 5 team members)
Inter-trial interval,The inter-trial interval (ITI) is the time between two consecutive trials. It is measured from the onset of one trial to the onset of the next trial. ,Experimental Design,"Inter-stimulus interval, Inter-block interval",ITI,,"<a href=""https://doi.org/10.1016/j.neuroimage.2008.05.013"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2008.05.013</a>", , , ,Simone Cutini,"Mahmoud Elsherif, Ségolène Guérin, Gregoire Vergotte, Ann-Christine Ehlis, Thomas Dresler, Jason Longhurst, Mohinish Shukla, Judit Gervain",Complete (agreement from at least 5 team members)
,"In experimental designs, jitters refer to the introduction of (pseudo-) random variations in the timing between successive stimulus onsets. They are implemented to mitigate potential confounds (e.g., habituation effects), avoid inducing rhythmic or predictive brain responses that are time-locked to the periodic onset of stimuli, and assist in deconvolving the hemodynamic response by introducing stimulus timing variability. Moreover, jitters are introduced to minimize temporal autocorrelation and enhance statistical power. That is, they serve to reduce correlation between successive stimulus onsets, mitigating any potential bias caused by temporal dependencies. By introducing (pseudo-) random variability in the timing of stimuli, jitters can help to improve the reliability and robustness of statistical analyses.
",Experimental Design,"Stimulus Onset Asynchrony (SOA), Inter-stimulus interval (ISI), Inter-trial interval (ITI)",,,"<a href=""https://doi.org/10.1002/(SICI)1097-0193(1999)8:2/3<109::AID-HBM7>3.0.CO;2-W"" target=""_blank"">https://doi.org/10.1002/(SICI)1097-0193(1999)8:2/3<109::AID-HBM7>3.0.CO;2-W</a><p></p><a href=""https://doi.org/10.1162/jocn.2008.20007
"" target=""_blank"">https://doi.org/10.1162/jocn.2008.20007
</a><p></p>
",(if applicable) ,(if applicable) ,(if applicable) ,Katharina Stute,"Mohinish Shukla, Judit Gervain, Samuel Montero-Hernandez, Ségolène Guérin, Gregoire Vergotte, Franziska Klein, Ann-Christine Ehlis",Complete (agreement from at least 5 team members) 
Landmark,"A landmark defines the location or a point defining an anatomical position on the human head. In the context of functional near-infrared spectroscopy (fNIRS), a landmark refers to a specific, easily identifiable anatomical point on the human head. Landmarks such as the preauricular points, nasion, inion, and Cz are used to accurately position the optodes and align fNIRS data with other neuroimaging data or estimate which cortical areas are covered by an fNIRS channel in terms of spatial registration. This ensures consistent measurements across individuals and studies. ",Experimental Design,"EEG 10-20 System, Spatial registration, 3D digitizer",,,"<p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.07.025
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.07.025
</a><p></p><a href=""https://github.com/fNIRS/snirf/blob/master/snirf_specification.md#nirsiprobelandmarkpos2d
"" target=""_blank"">https://github.com/fNIRS/snirf/blob/master/snirf_specification.md#nirsiprobelandmarkpos2d
</a><p></p>
", , , ,Michael Lührs," Mahmoud Elsherif, Franziska Klein, Murat Can Mutlu, Rickson Mesquita, Aykut Eken, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members) 
Montage,"A montage is the specific arrangement of the optodes (i.e., sources and detectors) placed on the scalp. The montage determines how sources and detectors are combined to form measurement channels. A montage can be customized to cover specific regions of interest by describing the arrangement of optodes according to a standard positioning system (e.g., the international 10-20, 10-10, and 10-5 systems, MNI space) or in relation to cranial landmarks (i.e., nasion, inion, left and right preauricular point). Montages are displayed in figures within manuscripts and are used as both visualizations and guides for confirming the locations of the optodes according to a standard positioning system.  
",Experimental Design,"Optode array, Optode template, Tomography, Topography, Coordinates, Regions of interest (ROI), Standard positioning system, Source, Detector",,"Optode template, Probe layout, Probeset, Probe set, Optode array design, Optodes configuration, Topographic layout","<a href=""https://doi.org/10.1038/s41598-018-21716-z"" target=""_blank"">https://doi.org/10.1038/s41598-018-21716-z</a><p></p><a href=""https://doi.org/10.1117/1.JBO.19.2.026010
"" target=""_blank"">https://doi.org/10.1117/1.JBO.19.2.026010
</a><p></p><a href=""https://doi.org/10.1117/1.NPh.8.1.012101
"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.1.012101
</a><p></p>
", , , ,"Kim Meidenbauer, Haiyan Kong, Anastasia Kerr-German "," Aykut Eken, Oliver Seidel-Marzi, Christina Artemenko, Vanessa Reindl, Christian Bartkowski, Jason Longhurst, Renato Orti, Franziska Klein, Jason Longhurst, Talukdar Raian Ferdous, Lenaic Borot, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
N-back,"The n-back task is a working memory paradigm where a sequence of stimuli in a chosen modality (e.g. visual) is presented (e.g. letters). Participants are asked to respond (e.g. via button press) when the currently presented stimulus is the same as the one presented n (usually 1, 2 or 3) trials before. For instance, in a 3-back task, where the trials consist of squares, participants have to decide whether the current square is the same as the square in trial n-3. With higher n, the working memory requirements increase. N-back tasks are usually presented in a block design, with e.g. 2-back working memory blocks and 1-back control blocks presented in (pseudo-) randomized order. The task requires several cognitive mechanisms such as encoding and temporary storage of each stimulus of the sequence. Incoming stimuli must be continuously updated while inhibiting irrelevant items, which must be removed from the working memory storage. It is also necessary to include a counting and matching process between the anticipatory and stored stimuli to make a decision as to indicate if the stimuli matches the correct response.   ",Experimental Design,,,,"<a href=""https://doi.org/10.1016/0013-4694(93)90119-G"" target=""_blank"">https://doi.org/10.1016/0013-4694(93)90119-G</a><p></p><a href=""https://doi.org/10.3389/fpsyg.2018.02208
"" target=""_blank"">https://doi.org/10.3389/fpsyg.2018.02208
</a><p></p>
", , , ,Agnes Kroczek," Mahmoud Elsherif; Lenaic Borot; Gregoire Vergotte; Ann-Christine Ehlis, Simone Cutini, Oliver Seidel-Marzi, Haiyan Kong, Judit Gervain",Complete (agreement from at least 5 team members)
Pseudorandomization,"The process of setting up an order of experimental trials/runs/sessions/conditions or an assignment of participants to specific (sub-)groups or treatments that is randomized, but with setting specific restrictions due to experimental considerations or subgroupings (i.e., not every order or assignment is possible). For example, when trials of the same condition should not be presented three times in row, one might choose an order that fulfills this condition, but is otherwise random. This process functionally approximates randomness, but is not completely random, as it excludes those orders that could have been generated randomly, but that show unwanted systematicity.
",Experimental Design,"Quasirandom, Randomization",,,"<p></p>
",(if applicable) ,(if applicable) ,(if applicable) , Thomas Dresler,"Mahmoud Elsherif, Jason Longhurst, Mohinish Shukla, Ségolène Guérin, Gregoire Vergotte, Ann-Christine Ehlis, Judit  Gervain",Complete (agreement from at least 5 team members)
Randomization,"Randomization is the process of setting up a random, i.e. accidental or arbitrary, order of experimental trials/runs/sessions/conditions or an assignment of participants to specific (sub-)groups or treatments without restrictions (i.e., every order or assignment is possible). If randomization follows specific rules or is limited by specific restrictions, then it is pseudorandomization (i.e., not every order or assignment is possible).

",Experimental Design,"Pseudorandomization, Quasirandom",,,,(if applicable) ,(if applicable) ,(if applicable) ,Thomas Dresler,"Mahmoud Elsherif, Christina Artemenko, Jason Longhurst, Mohinish Shukla, Katharina Stute, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Region of interest, Particular regions of interest (ROI) of the brain that are defined when performing a fNIRS measurement (i.e. targeting only specific brain regions) or when analyzing the fNIRS data. ,Experimental design,"Optode template, Montage",ROI,Imaging Region of Interest,"<a href="" National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov."" target=""_blank""> National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov.</a><p></p><a href=""https://doi.org/10.1038/s41598-018-21716-z
"" target=""_blank"">https://doi.org/10.1038/s41598-018-21716-z
</a><p></p><a href=""https://academic.oup.com/scan/article/2/1/67/2362895
"" target=""_blank"">https://academic.oup.com/scan/article/2/1/67/2362895
</a><p></p>
",, ,,Felix Scholkmann," Ann-Christine Ehlis, Franziska Klein, Haiyan Kong, Oliver Seidel-Marzi, Vanessa Reindl, Jason Longhurst",Complete (agreement from at least 5 team members)
